name,position,b,t,class,school,division,state,hometown,stats_link
Josh Ironside,RHP,R,R,Freshman,Marshalltown,JUCO: Division 1,IA,"St. Albert, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/joshironsideckne?view=profile
Connor Irvine,RHP,,,Freshman,Lassen College,California CC,CA,"Victoria, British Columbia",https://www.cccaasports.org/sports/bsb/2020-21/players/connorirvine9yde?view=profile
Blake Jacklin,OF,L,R,Freshman,Davenport University,NCAA: Division 2,MI,"St. Jacobs, Ontario",
Will Jackman,RHP,,,Freshman,Niagara County,JUCO: Division 3,NY,"Niagara Falls, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/willjackmankw4w?view=profile
Jacob Jackson,INF,R,R,Freshman,Siena Heights University,NAIA,MI,"Ajax, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1773&plr=190134
Spencer Jamieson,1B,L,R,Freshman,Cleary University,NAIA,MI,"Burlington, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=21009&plr=198112
Andrew Jawdek,RHP,R,R,Freshman,Cleary University,NAIA,MI,"Halton Hills, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=21009&plr=198109&reportName=BA_PP_P_GBG_DAN_PITCHING
Brendan Johnston,INF,,,Freshman,Minot State University,NCAA: Division 2,ND,"St. Thomas, Ontario",
AJ Karosas,IF,L,R,Freshman,Erie,JUCO: Division 3,NY,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/ajkarosas3d0h?view=profile
Logan Keating,OF,R,L,Freshman,Three Rivers,JUCO: Division 1,MO,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/logankeatingc3g6?view=profile
Kendell Keller,OF,L,R,Freshman,Barton,JUCO: Division 1,KS,"Pilot Butte, Saskatchewan",https://www.njcaa.org/sports/bsb/2020-21/div1/players/kendellkeller05db?view=profile
Reece Keller,RHP,,,Freshman,McCook,JUCO: Division 1,NE,"Spruce Grove, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/reecekeller7y20?view=profile
Azhar Khan,P,,,Freshman,Bryant & Stratton College (WI),JUCO: Division 2,WI,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/azharkhant98p?view=profile
Rei Kimura,IF,L,R,Freshman,Western Nebraska,JUCO: Division 1,NE,British Columbia,https://www.njcaa.org/sports/bsb/2020-21/div1/players/reikimura1r4b?view=profile
Stephen Kinal,RHP,R,R,Freshman,Palm Beach State,JUCO: Division 1,FL,,https://www.njcaa.org/sports/bsb/2020-21/div1/players/stephenkinaluwfs?view=profile
Colbey Klepper,RHP,R,R,Freshman,Lamar,JUCO: Division 1,CO,"Stony Plains, Alberta",https://www.njcaa.org/sports/bsb/2019-20/div1/players/colbeyklepperuvkr?view=profile
Brady Kobitowich,RHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"Edmonton, Alberta",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/bradykobitowichl0ye?view=profile
Jesse Kool,,,,Freshman,West Virginia University Institute of Technology,NAIA,WV,"Barrie, Ontario",
Justin L'Archeveque,INF,R,R,Freshman,Indian Hills,JUCO: Division 1,IA,"Montreal, Quebec",https://www.njcaa.org/sports/bsb/2020-21/div1/players/justinlarchevequeu6on?view=profile
Joshua LaLonde,C,R,R,Freshman,Henry Ford,JUCO: Division 2,MI,"Windsor, Ontario",
Noah LaLonde,OF,,,Freshman,Niagara County,JUCO: Division 3,NY,"Scarborough, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/noahlalonde16ax?view=profile
Roch Laferriere,OF,L,R,Freshman,Dakota State University,NAIA,SD,"Calgary, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1658&plr=190875
Mathieu Laroche,C/OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Burnaby, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/mathieularoche0yrl?view=profile
Olivier Laroque,RHP,R,R,Freshman,Cowley,JUCO: Division 1,KS,Quebec,https://www.njcaa.org/sports/bsb/2020-21/div1/players/olivierlaroquerz6q?view=profile
Zach Laurie,OF/C,L,R,Freshman,St. John's University,NCAA: Division 1,NY,"Peterborough, Ontario",
Tyler Lawrence,RHP,R,R,Freshman,Marshalltown,JUCO: Division 1,IA,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/tylerlawrence4iit?view=profile
Tom Leathem,RHP,R,R,Freshman,Marshalltown,JUCO: Division 1,IA,"St. Albert, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/tomleathemzyjb?view=profile
Charles Lefebvre,RHP,R,R,Freshman,Indian Hills,JUCO: Division 1,IA,Laval,https://www.njcaa.org/sports/bsb/2020-21/div1/players/charleslefebvre7cks?view=profile
Ryan Leitch,C,,,Freshman,Marshall University,NCAA: Division 1,WV,"Whitby, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=388&stats_player_seq=2334932
Jarod Leroux,RHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"Vernon, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jarodlerouxunlb?view=profile
Adam Letson,RHP,R,R,Freshman,Lakeland,JUCO: Division 2,OH,"Elmira, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/adamletsonggcy?view=profile
Luciano Letteri,OF,R,R,Freshman,University of British Columbia,NAIA,BC,"Coquitlam, British Columbia",
Jordan Lewis,OF,R,R,Freshman,Union College,NAIA,KY,"Brampton, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1796&plr=197228
Jeff Liddell,RHP,R,R,Freshman,Connors State,JUCO: Division 1,OK,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jeffliddell2vjd?view=profile
Stephen Lin,C,,,Freshman,Shoreline,NW Athletic Conference,WA,"Surrey, British Columbia",
Rob Lindsay,RHP/OF,R,R,Freshman,Rend Lake,JUCO: Division 1,IL,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/roblindsay77ve
Thomas Little,LHP,L,L,Freshman,Northern Oklahoma Enid,JUCO: Division 2,OK,"Lethbridge, Alberta",https://stats.njcaa.org/sports/bsb/2020-21/div2/players/thomaslittlezwif?view=profile
Cruz Lopez,C,R,R,Freshman,Genesee,JUCO: Division 3,NY,"Whitby, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/cruzlopez8ujs?view=profile
Melvin Lorenzo,IF/RHP,R,R,Freshman,University of Jamestown,NAIA,ND,"Calgary, Alberta",
Eric Luchies,LHP/1B,,,Freshman,Lower Columbia,NW Athletic Conference,WA,"Victoria, British Columbia",https://www.nwacsports.com/sports/bsb/2020-21/players/ericluchiesdzp3?view=profile
Jaryd Lund,LHP,L,L,Freshman,Salem University,NCAA: Division 2,WV,"London, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=19117&stats_player_seq=2331951&year_stat_category_id=14841
Jordan Lussier,RHP,R,R,Freshman,Illinois State University,NCAA: Division 1,IL,"Winnipeg, Manitoba",https://stats.ncaa.org/player/index?id=15580&org_id=299&stats_player_seq=2477652&year_stat_category_id=14841
Nolan MacDonald,RHP,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Parksville, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/nolanmacdonaldsfk1?view=profile
Mike MacDougall,RHP,L,R,Freshman,University of Indianapolis,NCAA: Division 2,IN,"Toronto, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=309&stats_player_seq=2344888&year_stat_category_id=14841
Blake MacMillan,P,,,Freshman,Onondaga,JUCO: Division 3,NY,Mississauga. Ontario,
Owen MacNeil,P,,,Freshman,University of Charleston,NCAA: Division 2,WV,"Georgetown, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=1013&stats_player_seq=2343406&year_stat_category_id=14841
Logan MacNiel,RHP,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Vancouver, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/loganmacniellnkz?view=profile
Madjik Mackenzie,1B/RHP,L,R,Freshman,Douglas,NW Athletic Conference,BC,"Vancouver, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/madjikmackenziehhjx?view=profile
Adam Maier,RHP/OF,R,R,Freshman,University of British Columbia,NAIA,BC,"North Vancouver, British Columbia","http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1799&plr=190045,http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1799&plr=190045&reportName=BA_PP_B_GBG_BAT"
Ayden Makarus,C,,,Freshman,LSU Eunice,JUCO: Division 2,LA,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/aydenmakarussrkq?view=profile
Ryan Marples,RHP,R,R,Freshman,Lindsey Wilson College,NAIA,KY,"St. Albert, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1711&plr=189750&reportName=BA_PP_P_GBG_DAN_PITCHING
Zach Marriott,IF,L,R,Freshman,Hendrix College,NCAA: Division 3,AR,"Oakville, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=1124&stats_player_seq=2488336
Aaron Marsh,INF,L,R,Freshman,Cochise,JUCO: Division 1,AZ,"Nanaimo, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/aaronmarsheyxt?view=profile
Eric Martin,OF/RHP,,,Freshman,Olney Central,JUCO: Division 1,IL,"Elmira, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/ericmartinpv9j?view=profile
EJ Martinez,C,R,R,Freshman,Genesee,JUCO: Division 3,NY,"Guelph, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/ejmartinezgpql?view=profile
Mathieu Massicotte,RHP,L,R,Freshman,Sussex County,JUCO: Division 2,NJ,Quebec,https://www.njcaa.org/sports/bsb/2020-21/div2/players/mathieumassicottefgw3?view=profile
Maddux Mateychuk,RHP,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Dominion City, Manitoba",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/madduxmateychuk7ua1?view=profile
CJ Maury,2B/SS,R,R,Freshman,Wayne State University,NCAA: Division 2,MI,"Brampton, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=757&stats_player_seq=2467060
Olivier Mayrand,C,R,R,Freshman,Nova Southeastern University,NCAA: Division 2,FL,"Laval, Quebec",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=24639&stats_player_seq=2315643
David McCabe,INF,S,R,Freshman,"University of North Carolina, Charlotte",NCAA: Division 1,NC,"Oshawa, Ontario",http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=458&stats_player_seq=2329249
Spencer McDonell,OF,R,R,Freshman,John Carroll University,NCAA: Division 3,OH,"Toronto, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=320&stats_player_seq=2510057
Micah McDowell,OF,L,R,Freshman,Oregon State University,NCAA: Division 1,OR,"Halifax, Nova Scotia",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=528&stats_player_seq=2301954
Matt McEachern,OF,L,R,Freshman,Lourdes University,NAIA,OH,"Burlington, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18711&plr=186799
Dustin McElwain,OF,R,R,Freshman,William Jessup University,NAIA,CA,"Richmond, British Columbia",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=19203&plr=195652
Noel McGarry-Doyle,OF,L,R,Freshman,Southeastern,JUCO: Division 2,IA,"Vaughan, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div2/players/noelmcgarrydoyle41io?view=profile
Jonny McGill,OF,L,R,Freshman,University of British Columbia,NAIA,BC,"Richmond, British Columbia",
Joel McGrath,RHP,R,R,Freshman,Colby,JUCO: Division 1,KS,"Kindersley, Saskachewan",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/joelmcgrathlpv3?view=profile
Tyson McInnes,RHP,R,R,Freshman,Edmonds,NW Athletic Conference,WA,"Squamish, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/tysonmcinnesu9p4?view=profile
Riley McKinnon,RHP,R,R,Freshman,Marshalltown,JUCO: Division 1,IA,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/rileymckinnong1g2?view=profile
Duncan McLaughlin,RHP,R,R,Freshman,Southeastern,JUCO: Division 2,IA,"Dartmouth, Nova Scotia",https://www.njcaa.org/sports/bsb/2020-21/div2/players/duncanmclaughlin24fk?view=profile
Josh Mendoza,OF,L,L,Freshman,Marshalltown,JUCO: Division 1,IA,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/joshmendoza9hu5?view=profile
Simon Menier,OF,,,Freshman,Campbell University,NCAA: Division 1,NC,"Chicoutimi, Quebec",
Stefan Mielzynski,1B/DH,L,R,Freshman,Otero,JUCO: Division 1,CO,"Waterdown, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/stefanmielzynski2zac?view=profile
Theo Millas,RHP,R,R,Freshman,Louisiana State University,NCAA: Division 1,LA,"Burnaby, British Columbia",https://stats.ncaa.org/player/index?id=15580&org_id=365&stats_player_seq=2486620&year_stat_category_id=14841
Michael Millross,UTL,L,R,Freshman,Elmira College,NCAA: Division 3,NY,"Ottawa, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=213&stats_player_seq=2490419
Samuel Mitcham,C,,,Freshman,Highland (KS),JUCO: Division 1,KS,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/sammitcham74bd?view=profile
Jack Moir,C,R,R,Freshman,Itasca,JUCO: Division 3,MN,"Winnipeg, Manitoba",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/jackmoirbo9x?view=profile
Gabriel Monterrey,INF,,,Freshman,Roane State,JUCO: Division 1,TN,Ontario,https://www.njcaa.org/sports/bsb/2020-21/div1/players/gabrielmonterreyva71?view=profile
Bennett Moore,RHP,R,R,Freshman,Johnson County,JUCO: Division 1,KS,"Goderich, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/bennettmoore5uma?view=profile
Deagan Morcom,OF,,,Freshman,McCook,JUCO: Division 1,NE,"Winnipeg, Manitoba",
Tyler Mosher,INF,S,R,Freshman,Davenport University,NCAA: Division 2,MI,"Dutton, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=30221&stats_player_seq=2471676
Adlai Muench,OF,R,R,Freshman,Salem University,NCAA: Division 2,WV,"Martensville, Saskatchewan",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=19117&stats_player_seq=2331957
Justin Murray,C/INF,,,Freshman,Salem University,NCAA: Division 2,WV,"Markham, Ontario",https://stats.ncaa.org/player/index?game_sport_year_ctl_id=15580&org_id=19117&stats_player_seq=2525644
Tory Nelson,IF,R,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Medicine Hat, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/torynelsonozga?view=profile
Blake Nelson,INF/OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Calgary, Alberta",https://nwacsports.com/sports/bsb/2020-21/players/blakenelsonz22u?view=profile
Brandon Nicoll,INF,,,Freshman,Galveston,JUCO: Division 1,TX,"Langly, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/brandonnicollxldl?view=profile
Josh Niles,IF,R,R,Freshman,Canisius College,NCAA: Division 1,NY,"St. Thomas, Ontario",
Trevor Nyp,INF,L,R,Freshman,Oakton,JUCO: Division 3,IL,"Eastwood Kitchener, Ontario",
Connor O'Halloran,LHP,R,L,Freshman,University of Michigan,NCAA: Division 1,MI,"Mississauga, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=418&stats_player_seq=2508416&year_stat_category_id=14841
Matthew O'Reilly,OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Qualicum Beach, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/mattheworeillycwbv?view=profile
Evan O'Toole,RHP/OF,R,R,Freshman,Iowa Western,JUCO: Division 1,IA,"Bridgewater, Nova Scotia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/evanotoole3pe6?view=profile
Craig Oliver,INF,,,Freshman,Niagara County,JUCO: Division 3,NY,"Fredericton, New Brunswick",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/craigoliver64q2?view=profile
Darius Opdambak,RHP/3B,R,R,Freshman,Douglas,NW Athletic Conference,BC,"White Rock, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/dariusopdambakon09?view=profile
Tristan Osika,SS,S,R,Freshman,Indiana Tech,NAIA,IN,"Ancaster, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1692&plr=198674
Jackson Painter,RHP,R,R,Freshman,Erie,JUCO: Division 3,NY,"Whitby, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/jacksonpainter8mll?view=profile
Myles Pallister,RHP,R,R,Freshman,Niagara University,NCAA: Division 1,NY,"Lacombe, Alberta",https://stats.ncaa.org/player/index?id=15580&org_id=482&stats_player_seq=2514475&year_stat_category_id=14841
Derek Palmiere,RHP,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/derekpalmiere3cic?view=profile
Matthew Panzica,RHP/OF,L,R,Freshman,Niagara University,NCAA: Division 1,NY,"Maple, Ontario",
Sukhbir Parmar,RHP,,,Freshman,Salem University,NCAA: Division 2,WV,"Markham, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=19117&stats_player_seq=2526014&year_stat_category_id=14841
Jaden Parsons,INF,,,Freshman,Cloud County,JUCO: Division 1,KS,"Vernon, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/jadenparsonssxpz?view=profile
Tylar Patrick,RHP/3B,,,Freshman,Northampton,JUCO: Division 3,PA,"Barrie, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/tylarpatrickjb2n?view=profile
Ethan Paulos,OF,R,R,Freshman,Dawson,JUCO: Division 2,MT,Ontario,https://www.njcaa.org/sports/bsb/2020-21/div2/players/ethanpaulos7yzd?view=profile
Angus Pegg,OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Vancouver, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/anguspeggtccu?view=profile
Raphael Pelletier,C,L,R,Freshman,Kansas State University,NCAA: Division 1,KS,"Mascouche, Quebec",
Hugo Pepin,RHP/1B,L,R,Freshman,Pratt,JUCO: Division 1,KS,"Boucherville, Quebec",https://www.njcaa.org/sports/bsb/2020-21/div1/players/hugopepingsac?view=profile
Arlen Peters,RHP/IF,R,R,Freshman,Johnson County,JUCO: Division 1,KS,Schanzenfeld,https://www.njcaa.org/sports/bsb/2020-21/div1/players/arlenpetersugxp?view=profile
Trent Peters,IF/RHP,R,R,Freshman,University of Jamestown,NAIA,ND,"Niverville, Manitoba",
Sean Pettener,IF,L,R,Freshman,Rend Lake,JUCO: Division 1,IL,"Hamilton, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/seanpettenercanj?view=profile
Eric Pettipiece,LHP,L,L,Freshman,Goshen College,NAIA,IN,"Dorchester, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1678&plr=194541&reportName=BA_PP_P_GBG_DAN_PITCHING
Kyle Pfeifer,RHP/OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Cloverdale, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/kylepfeifer69sk?view=profile
Stephen Phillips,RHP,,,Freshman,Ventura College,California CC,CA,"Vaughan, Ontario",
Justin Philp,RHP,,,Freshman,Madonna University,NAIA,MI,"Guelph, Ontario",
Chad Picton,IF,R,R,Freshman,Colby,JUCO: Division 1,KS,"Winnipeg, Manitoba",https://www.njcaa.org/sports/bsb/2020-21/div1/players/chadpictonqigq?view=profile
Blake Pongracz,LHP/OF,L,L,Freshman,Pratt,JUCO: Division 1,KS,"Saskatoon, Saskatchewan",https://www.njcaa.org/sports/bsb/2020-21/div1/players/blakepongraczqibe?view=profile
Will Potter,LHP,L,L,Freshman,Western Nebraska,JUCO: Division 1,NE,"Kincardine, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/willpotter2jtl?view=profile
Chris Pouliot,LHP,L,L,Freshman,University of Pittsburgh,NCAA: Division 1,PA,"Boischatel, Quebec",https://stats.ncaa.org/player/index?id=15580&org_id=545&stats_player_seq=2312833&year_stat_category_id=14841
Tyson Pringle,LHP,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Boissevain, Manitoba",https://stats.njcaa.org/sports/bsb/2020-21/div2/players/tysonpringlegtli?view=profile
Gavin Pringle,RHP,R,T,Freshman,Hawaii Pacific University,NCAA: Division 2,HI,"Duncan, British Columbia",https://stats.ncaa.org/player/index?id=15580&org_id=2696&stats_player_seq=2508387&year_stat_category_id=14841
Otis Pritchett,RHP,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Vancouver, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/otispritchettb989?view=profile
Keegan Pulford-Thorpe,LHP,,,Freshman,University of Central Florida,NCAA: Division 1,FL,"Newmarket, Ontario",
Gauthaman Ramesh,SS/2B,R,R,Freshman,Rochester Institute of Technology,NCAA: Division 3,NY,"Markham, Ontario",
Nick Rein,INF,,,Freshman,Taft College,California CC,CA,"Regina, Saskatchewan",
Brady Renneberg,RHP/INF,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/bradyrennebergi62a?view=profile
Adam Renneberg,RHP/C,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/adamrennebergds4z?view=profile
Kai Reum,RHP/INF,R,R,Freshman,Iowa Central,JUCO: Division 2,IA,Alberta,https://www.njcaa.org/sports/bsb/2020-21/div2/players/kaireumgvht?view=profile
Hayden Rhody,RHP,R,R,Freshman,MidAmerica Nazarene University,NAIA,KS,"Thorsby, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1723&plr=195617&reportName=BA_PP_P_GBG_DAN_PITCHING
Jake Richmond-Benner,LHP,L,L,Freshman,University of British Columbia,NAIA,BC,"Gibsons, British Columbia",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1799&plr=190036&reportName=BA_PP_B_GBG_BAT
Flynn Ridley,RHP,R,R,Freshman,Panola,JUCO: Division 1,TX,Burnaby,https://www.njcaa.org/sports/bsb/2020-21/div1/players/flynnridleyd6do?view=profile
Efrain Romero,OF,,,Freshman,Hill,JUCO: Division 1,TX,"Montreal, Quebec",
Aidan Rose,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"Calgary, Alberta",
Greg Ross,RHP,,,Freshman,Howard (TX),JUCO: Division 1,TX,"Sarnia, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/gregrosscmfy?view=profile
Nico Saldias,RHP,R,R,Freshman,Connors State,JUCO: Division 1,OK,"Ajax, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/nicosaldiasosli?view=profile
Ricardo Sanchez,INF/RHP,,,Freshman,Crowder,JUCO: Division 1,MO,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/ricardosanchez3g7l?view=profile
Cameron Sanderson,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"London, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1799&plr=190037
Ethan Sansaie-Edwards,OF/RHP,R,R,Freshman,St. Clair County,JUCO: Division 2,MI,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/ethansansaieedwards12nb?view=profile
Nicolas Santarelli,C/3B/OF,R,R,Freshman,Douglas,NW Athletic Conference,BC,"Burnaby, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/nicolassantarellix8jz?view=profile
Sean Sasaki,LHP/OF,L,L,Freshman,Douglas,NW Athletic Conference,BC,"Delta, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/seansasaki4pai?view=profile
Zach Saufl,RHP,R,R,Freshman,Vanguard University,NAIA,CA,"Oakville, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1810&plr=197590&reportName=BA_PP_P_GBG_DAN_PITCHING
Eli Saul,RHP,L,R,Freshman,Sacramento State University,NCAA: Division 1,CA,"Vancouver, British Columbia",https://stats.ncaa.org/player/index?id=15580&org_id=102&stats_player_seq=2304747&year_stat_category_id=14841
Anthony Scali,INF,L,R,Freshman,Siena Heights University,NAIA,MI,"Pickering, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1773&plr=190119
Colton Schaper-Kotter,UTL,L,R,Freshman,East Central University,NCAA: Division 2,OK,"Vernon, British Columbia",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=8965&stats_player_seq=2319809
Carter Scott,RHP,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Airdrie, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/carterscott6rvv?view=profile
Ryan Scott,RHP,R,R,Freshman,Sacramento State University,NCAA: Division 1,CA,"Quispamsis, New Brunswick",
Carter Seabrooke,LHP,,,Freshman,Howard (TX),JUCO: Division 1,TX,"Otonabee, Ontario",
Kale Seitz,1B,L,R,Freshman,Bellevue,NW Athletic Conference,WA,"Okotoks, Alberta",https://nwacsports.com/sports/bsb/2020-21/players/kaleseitz9irw?view=profile
Jack Seward,RHP,,,Freshman,San Jacinto-North,JUCO: Division 1,TX,"Port Moody, British Columbia",
Bauer Sewell,IF,R,R,Freshman,University of Jamestown,NAIA,ND,"Calgary, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1699&plr=193587
Conall Sexton,LHP,L,L,Freshman,San Diego Christian College,NAIA,CA,"Abbotsford, British Columbia",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1854&plr=197672&reportName=BA_PP_P_GBG_DAN_PITCHING
Declan Shaw,RHP/1B,,,Freshman,West Virginia University Institute of Technology,NAIA,WV,"Whitby, Ontario",
Logan Sheasgreen,1B,,,Freshman,Hartnell College,California CC,CA,"Miramichi, New Brunswick",
